id,state,county,rate
28021,Mississippi,Claiborne County,12.3
28023,Mississippi,Clarke County,6.4
28025,Mississippi,Clay County,7.8
28027,Mississippi,Coahoma County,8.1
28029,Mississippi,Copiah County,6.4
28031,Mississippi,Covington County,5.6
28033,Mississippi,DeSoto County,4.1
28035,Mississippi,Forrest County,5.8
28037,Mississippi,Franklin County,6.8
28039,Mississippi,George County,7.7
28041,Mississippi,Greene County,8
28043,Mississippi,Grenada County,4.9
28045,Mississippi,Hancock County,5.9
28047,Mississippi,Harrison County,5.3
28049,Mississippi,Hinds County,5.2
28051,Mississippi,Holmes County,10.9
28053,Mississippi,Humphreys County,11.2
28055,Mississippi,Issaquena County,9.9
28057,Mississippi,Itawamba County,4.8
28059,Mississippi,Jackson County,6.4
28061,Mississippi,Jasper County,7.8
28063,Mississippi,Jefferson County,10.4
28065,Mississippi,Jefferson Davis County,9.3
28067,Mississippi,Jones County,5.9
28069,Mississippi,Kemper County,8.2
28071,Mississippi,Lafayette County,4.9
28073,Mississippi,Lamar County,4.5
28075,Mississippi,Lauderdale County,5.8
28077,Mississippi,Lawrence County,7.4
28079,Mississippi,Leake County,5.6
28081,Mississippi,Lee County,4.8
28083,Mississippi,Leflore County,9
28085,Mississippi,Lincoln County,5.8
28087,Mississippi,Lowndes County,5.9
28089,Mississippi,Madison County,4.2
28091,Mississippi,Marion County,6.8
28093,Mississippi,Marshall County,5.7
28095,Mississippi,Monroe County,6.3
28097,Mississippi,Montgomery County,6.3
28099,Mississippi,Neshoba County,5.4
28101,Mississippi,Newton County,5.9
28103,Mississippi,Noxubee County,8
28105,Mississippi,Oktibbeha County,5.6
28107,Mississippi,Panola County,6.7
28109,Mississippi,Pearl River County,5.9
28111,Mississippi,Perry County,7
28113,Mississippi,Pike County,6.7
28115,Mississippi,Pontotoc County,4.5
28117,Mississippi,Prentiss County,5.3
28119,Mississippi,Quitman County,8.3
28121,Mississippi,Rankin County,3.8
28123,Mississippi,Scott County,4.5
28125,Mississippi,Sharkey County,8
28127,Mississippi,Simpson County,5.5
28129,Mississippi,Smith County,5.1
28131,Mississippi,Stone County,6.8
28133,Mississippi,Sunflower County,8.4
